Desktop File	App Name	Exec Command	Categories	Comment
ryovm.desktop	Ryoport	flock -n -o /tmp/ryovm.lock qs -c ryovm	System;Utility;	One console for your virtual machines, VPS and SSH connections
ryowalls.desktop	ryowalls	flock -n -o /tmp/ryowalls.lock qs -c ryowalls	Utility;Graphics;	Browse, edit, enhance and set image and live wallpapers with a live rice preview
satty.desktop	Satty	satty -f %f	Utility;Graphics;	
scale_down.desktop	Scale UI Down	/home/kshitij/user_scripts/hypr/monitor/adjust_scale.py -	Settings;	Decrease display scaling
scale_up.desktop	Scale UI Up	/home/kshitij/user_scripts/hypr/monitor/adjust_scale.py +	Settings;	Increase display scaling
spotify-launcher.desktop	Spotify (Launcher)	spotify-launcher %U	Audio;Music;Player;AudioVideo;	
streamfog.desktop	Streamfog	/home/kshitij/Applications/Streamfog-x86_64.AppImage	AudioVideo;Video;	Webcam AR Filters and Lenses
swappy.desktop	Swappy	swappy -f %f	Utility;Graphics;	A Wayland native snapshot editing tool
swayimg.desktop	Swayimg	swayimg %F	Graphics;Viewer	Image viewer for Wayland
thunar-bulk-rename.desktop	Bulk Rename	thunar --bulk-rename %F	Utility;Core;GTK;Filesystem;	Rename Multiple Files
thunar-settings.desktop	Thunar Preferences	thunar-settings	XFCE;GTK;Settings;DesktopSettings;X-XFCE-SettingsDialog;X-XFCE-PersonalSettings;	Configure the Thunar file manager
thunar-volman-settings.desktop	Removable Drives and Media	thunar-volman-settings	XFCE;GTK;Settings;DesktopSettings;X-XFCE-SettingsDialog;X-XFCE-HardwareSettings;	Configure management of removable drives and media
thunar.desktop	Thunar File Manager	thunar %U	System;Core;GTK;FileTools;FileManager;	Browse the filesystem with the file manager
update_dusky.desktop	Dusky System Update	kitty --class update_dusky.py --title "Dusky System Update" --hold python3 /home/kshitij/user_scripts/update_dusky/python/update_dusky.py	System;ConsoleOnly;	Syncs local setup with latest git commit and updates system
user-dirs-update-gtk.desktop	User folders update	xdg-user-dirs-gtk-update		Update common folders names to match current locale
vlc.desktop	VLC media player	/usr/bin/vlc --started-from-file %U	AudioVideo;Player;Recorder;	Read, capture, broadcast your multimedia streams
voxtype-configure.desktop	Voxtype Configuration	voxtype-configure-launcher	Settings;	Configure voxtype dictation settings (engine, model, hotkey, audio, output)
warp.desktop	Toggle Warp	/home/kshitij/user_scripts/networking/warp_toggle.py	Network;	Toggle Cloudflare Warp Connection
wayclick.desktop	Toggle Wayclick	/home/kshitij/user_scripts/wayclick/dusky_wayclick.sh	keyboard;sounds;	Key Press Sounds
wheelmap-geo-handler.desktop	wheelmap.org	kde-geo-uri-handler --coordinate-template "https://wheelmap.org/?lat=<LAT>&lon=<LON>" --query-template "https://wheelmap.org/search?q=<Q>" --fallback "https://wheelmap.org" %u		
xdg-desktop-portal-gtk.desktop	Portal	/usr/lib/xdg-desktop-portal-gtk		
xfce4-about.desktop	About Xfce	xfce4-about	Utility;X-XFCE;X-Xfce-Toplevel;	Information about the Xfce Desktop Environment
xgps.desktop	xgps	xgps	Application;Maps;Utility;	Display GPS information from a gpsd daemon
xgpsspeed.desktop	xgpsspeed	xgpsspeed	Application;Maps;Utility;	Display GPS speed from a gpsd daemon
xreader.desktop	Document Viewer	xreader %U	GTK;Utility;Viewer;	View multi-page documents
yad-icon-browser.desktop	Icon Browser	yad-icon-browser	GTK;Development;	Inspect GTK Icon Theme
yad-settings.desktop	YAD settings	yad-settings	GTK;Settings;	Simple GUI for editing YAD settings
yazi.desktop	Yazi File Manager	yazi %f	System;FileManager;FileTools;ConsoleOnly	Blazing fast terminal file manager written in Rust, based on async I/O
