libcloudproviders 0.4.1-1
libcolord 1.4.8-1
libcue 2.3.0-2
libcups 2:2.4.19-1
libcurl-gnutls 8.21.0-1
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-2
libdbusmenu-gtk3 18.10.20180917-2
libdbusmenu-qt5 0.9.3+16.04.20160218-8
libdc1394 2.2.7-2
libdca 0.0.7-3
libde265 1.1.1-1
libdecor 0.2.5-1
libdeflate 1.26-1
libdisplay-info 0.3.0-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdv 1.0.0-12
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libdwarf 1:2.3.2-1
libebml 1.4.5-3
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.196-1
libepoxy 1.5.10-3
libevdev 1.13.7-1
libevent 2.1.13-2
libexif 0.6.26-1
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfido2 1.17.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfyaml 0.9.6-3
libgcc 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.3-1
libgee 0.20.8-1
libgepub 0.7.3-2
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgirepository 1.86.0-2
libgit2 1:1.9.7-1
libglvnd 1.7.0-3
libgme 0.6.5-1
libgnomekbd 1:3.28.1-2
libgomp 16.2.1+r23+gd564253eb6c8-1
libgpg-error 1.61-1
libgphoto2 2.5.34-1
libgsf 1.14.58-1
libgtop 2.41.3-2
libgudev 238-3
libgusb 0.4.9-2
libgweather-4 4.6.0-1
libgxps 0.3.2-5
libhandy 1.8.3-2
libheif 1.23.2-1
libhwasan 16.2.1+r23+gd564253eb6c8-1
libical 4.0.5-1
libice 1.1.2-1
libid3tag 0.16.4-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libiptcdata 1.0.5-5
libisl 0.28-1
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1
libksba 1.8.1-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.6.13-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
liblsan 16.2.1+r23+gd564253eb6c8-1
libltc 1.3.2-2
libluv 1.52.1-1
libmad 0.15.1b-10
libmakepkg-dropins 20-2
libmalcontent 0.14.0-4
libmanette 0.2.13-2
libmatio 1.5.30-1
libmatroska 1.7.2-2
libmbim 1.34.0-1
libmd 1.2.0-1
libmicrodns 0.2.0-2
libmm-glib 1.24.2-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpcdec 1:0.1+r475-6
libmpdclient 2.27-1
libmpeg2 0.5.1-11
libmtp 1.1.23-1
libmupdf 1.28.0-1
libmysofa 1.3.5-1
libnautilus-extension 50.3-1
libndp 1.9-1
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.58.1-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.8-1
libnsl 2.0.1-2
libnvme 1.16.2-2
libobjc 16.2.1+r23+gd564253eb6c8-1
libogg 1.3.6-1
libopenmpt 0.8.9-1
libopenraw 0.3.7-2
libosinfo 1.12.0-3
libp11-kit 0.26.5-1
libpathrs 0.2.5-2
libpcap 1.10.6-1
libpciaccess 0.19-1
libpeas 1.38.1-1
libpgm 5.3.128-4
libpipeline 1.5.8-1
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6
libplist 2.7.0-3
libpng 1.6.58-2
libportal 0.10.0-1
libportal-gtk4 0.10.0-1
libprocps 3.3.17-4
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libpwquality 1.4.5-7
libqalculate 5.12.0-1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libquadmath 16.2.1+r23+gd564253eb6c8-1
libraqm 0.11.0-1
libraw 0.22.2-1
libraw1394 2.1.2-4
librsvg 2:2.62.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libsass 3.6.6-2
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsigc++ 2.12.2-1
libsigc++-3.0 3.8.1-1
libsixel 1.10.5-1
libslirp 4.9.4-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libsrtp 1:2.8.0-1
libssh 0.12.2-1
libssh2 1.11.1-7
libstdc++ 16.2.1+r23+gd564253eb6c8-1
libstemmer 3.1.1-1
libsynctex 2026.0-2
libsysprof-capture 50.0-6
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.7-1
libtool 2.6.2-5
libtraceevent 1:1.9.0-1
libtracefs 1.8.3-1
libtsan 16.2.1+r23+gd564253eb6c8-1
libubsan 16.2.1+r23+gd564253eb6c8-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburing 2.15-1
libusb 1.0.30-1
libusbmuxd 2.1.1-2
libutf8proc 2.11.3-1
libuv 1.52.1-2
libva 2.24.1-1
libva-nvidia-driver 0.0.17-1
libva-utils 2.24.0-1
libvdpau 1.5-4
